angle,pesos_first,pesos_second
-52.6,[ 1.22198144  0.04945954 -0.20077814  0.01988298],[ 1.0589521   0.04585781 -0.30484206  0.00970487]
-52.5,[ 1.22086839  0.04933344 -0.20026626  0.01983229],[ 1.06036327  0.04609438 -0.30641464  0.00975493]
-52.4,[ 1.21976065  0.04920795 -0.19975683  0.01978184],[ 1.06176262  0.04632896 -0.30797404  0.00980458]
-52.3,[ 1.21865938  0.04908319 -0.19925037  0.01973169],[ 1.06314877  0.04656133 -0.30951873  0.00985375]
-52.2,[ 1.2175622   0.04895889 -0.19874579  0.01968172],[ 1.06452477  0.046792   -0.31105212  0.00990257]
-52.1,[ 1.21647145  0.04883532 -0.19824417  0.01963205],[ 1.06588777  0.04702049 -0.31257101  0.00995092]
-52.0,[ 1.21538592  0.04871234 -0.19774495  0.01958261],[ 1.06723934  0.04724706 -0.31407717  0.00999887]
-51.9,[ 1.21430561  0.04858996 -0.19724813  0.01953341],[ 1.06857957  0.04747174 -0.31557069  0.01004642]
-51.8,[ 1.21323167  0.04846829 -0.19675424  0.0194845 ],[ 1.06990711  0.04769428 -0.31705007  0.01009352]
-51.7,[ 1.21216172  0.04834708 -0.19626219  0.01943577],[ 1.07122495  0.0479152  -0.31851864  0.01014027]
-51.6,[ 1.21109694  0.04822645 -0.19577251  0.01938728],[ 1.07253172  0.04813426 -0.31997487  0.01018663]
-51.5,[ 1.2100373   0.04810641 -0.1952852   0.01933902],[ 1.0738275   0.04835148 -0.32141886  0.0102326 ]
-51.4,[ 1.20898396  0.04798708 -0.19480078  0.01929105],[ 1.07511097  0.04856664 -0.32284913  0.01027813]
-51.3,[ 1.20793455  0.0478682  -0.19431818  0.01924326],[ 1.07638506  0.04878023 -0.32426895  0.01032334]
-51.2,[ 1.20689024  0.04774989 -0.19383792  0.0191957 ],[ 1.07764843  0.04899201 -0.32567681  0.01036816]
-51.1,[ 1.20585101  0.04763216 -0.19335999  0.01914837],[ 1.07890116  0.04920202 -0.32707282  0.0104126 ]
-51.0,[ 1.20481568  0.04751487 -0.19288386  0.01910122],[ 1.08014473  0.04941049 -0.32845863  0.01045672]
-50.9,[ 1.20378657  0.04739828 -0.19241058  0.01905435],[ 1.08137641  0.04961696 -0.32983119  0.01050041]
-50.8,[ 1.20276132  0.04728213 -0.19193909  0.01900766],[ 1.08259909  0.04982193 -0.33119371  0.01054379]
-50.7,[ 1.2017411   0.04716655 -0.1914699   0.01896119],[ 1.08381144  0.05002516 -0.33254473  0.0105868 ]
-50.6,[ 1.20072589  0.04705154 -0.19100302  0.01891496],[ 1.08501354  0.05022668 -0.33388432  0.01062945]
-50.5,[ 1.19971451  0.04693697 -0.19053791  0.0188689 ],[ 1.08620685  0.05042672 -0.33521411  0.01067178]
-50.4,[ 1.19870812  0.04682295 -0.19007508  0.01882306],[ 1.08739005  0.05062507 -0.33653265  0.01071376]
-50.3,[ 1.1977067   0.0467095  -0.18961454  0.01877746],[ 1.08856322  0.05082174 -0.33784     0.01075538]
-50.2,[ 1.19670908  0.04659649 -0.18915575  0.01873202],[ 1.0897278   0.05101696 -0.33913778  0.0107967 ]
-50.1,[ 1.1957164   0.04648403 -0.18869924  0.01868681],[ 1.09088248  0.05121053 -0.34042453  0.01083766]
-50.0,[ 1.19472867  0.04637213 -0.18824499  0.01864183],[ 1.09202735  0.05140246 -0.34170035  0.01087828]
-49.9,[ 1.1937447   0.04626066 -0.18779248  0.01859702],[ 1.09316382  0.05159297 -0.3429668   0.01091859]
-49.8,[ 1.19276448  0.04614961 -0.18734169  0.01855238],[ 1.09429195  0.05178209 -0.34422396  0.01095862]
-49.7,[ 1.19178917  0.04603912 -0.18689316  0.01850796],[ 1.09541046  0.05196959 -0.3454704   0.0109983 ]
-49.6,[ 1.19081759  0.04592905 -0.18644635  0.01846371],[ 1.09652075  0.05215572 -0.34670768  0.01103769]
-49.5,[ 1.18985091  0.04581954 -0.18600178  0.01841969],[ 1.09762155  0.05234025 -0.34793438  0.01107674]
-49.4,[ 1.18888793  0.04571045 -0.18555892  0.01837583],[ 1.09871424  0.05252343 -0.34915206  0.01111551]
-49.3,[ 1.18792866  0.04560177 -0.18511777  0.01833214],[ 1.0997989   0.05270526 -0.35036077  0.01115399]
-49.2,[ 1.18697426  0.04549365 -0.18467885  0.01828868],[ 1.10087424  0.05288552 -0.35155911  0.01119214]
-49.1,[ 1.18602354  0.04538595 -0.18424163  0.01824538],[ 1.10194166  0.05306446 -0.35274862  0.01123001]
-49.0,[ 1.18507767  0.04527879 -0.18380664  0.0182023 ],[ 1.1029999   0.05324186 -0.3539279   0.01126755]
-48.9,[ 1.1841343   0.04517192 -0.1833728   0.01815934],[ 1.10405162  0.05341817 -0.35509991  0.01130486]
-48.8,[ 1.18319576  0.04506559 -0.18294118  0.0181166 ],[ 1.10509427  0.05359296 -0.35626181  0.01134185]
-48.7,[ 1.18226088  0.04495968 -0.18251124  0.01807402],[ 1.10612921  0.05376645 -0.35741512  0.01137857]
-48.6,[ 1.18132965  0.04485419 -0.18208298  0.01803161],[ 1.10715648  0.05393866 -0.35855989  0.01141501]
