angle,pesos_first,pesos_second
-58.6,[  8.17102953e-03  -6.58514989e-03  -8.30160687e-05  -1.99486040e-04],[  2.80282424e-04   1.78235180e-03   4.46294322e-05  -8.74541302e-04]
-58.5,[  8.14525332e-03  -6.56437647e-03  -8.27541874e-05  -1.98856745e-04],[  2.84894782e-04   1.81168238e-03   4.53638590e-05  -8.88932848e-04]
-58.4,[  8.11969893e-03  -6.54378182e-03  -8.24945598e-05  -1.98232864e-04],[  2.89448494e-04   1.84064001e-03   4.60889476e-05  -9.03141407e-04]
-58.3,[  8.09436385e-03  -6.52336392e-03  -8.22371603e-05  -1.97614338e-04],[  2.93944495e-04   1.86923066e-03   4.68048468e-05  -9.17169894e-04]
-58.2,[  8.06920582e-03  -6.50308870e-03  -8.19815596e-05  -1.97000135e-04],[  2.98390721e-04   1.89750478e-03   4.75128204e-05  -9.31043075e-04]
-58.1,[  8.04424264e-03  -6.48297052e-03  -8.17279386e-05  -1.96390688e-04],[  3.02784429e-04   1.92544493e-03   4.82124315e-05  -9.44752387e-04]
-58.0,[  8.01949205e-03  -6.46302366e-03  -8.14764774e-05  -1.95786432e-04],[  3.07122940e-04   1.95303408e-03   4.89032535e-05  -9.58289471e-04]
-57.9,[  7.99491226e-03  -6.44321446e-03  -8.12267516e-05  -1.95186345e-04],[  3.11413987e-04   1.98032140e-03   4.95865179e-05  -9.71678459e-04]
-57.8,[  7.97054094e-03  -6.42357326e-03  -8.09791436e-05  -1.94591348e-04],[  3.15651398e-04   2.00726763e-03   5.02612418e-05  -9.84900091e-04]
-57.7,[  7.94633660e-03  -6.40406663e-03  -8.07332323e-05  -1.94000428e-04],[  3.19842780e-04   2.03392117e-03   5.09286364e-05  -9.97978101e-04]
-57.6,[  7.92231719e-03  -6.38470905e-03  -8.04891998e-05  -1.93414022e-04],[  3.23985391e-04   2.06026456e-03   5.15882653e-05  -1.01090394e-03]
-57.5,[  7.89846128e-03  -6.36548322e-03  -8.02468283e-05  -1.92831608e-04],[  3.28083293e-04   2.08632364e-03   5.22407751e-05  -1.02369027e-03]
-57.4,[  7.87478685e-03  -6.34640366e-03  -8.00063008e-05  -1.92253625e-04],[  3.32133744e-04   2.11208098e-03   5.28857294e-05  -1.03632855e-03]
-57.3,[  7.85129223e-03  -6.32746901e-03  -7.97676000e-05  -1.91680032e-04],[  3.36137404e-04   2.13754077e-03   5.35232330e-05  -1.04882082e-03]
-57.2,[  7.82795624e-03  -6.30866221e-03  -7.95305109e-05  -1.91110311e-04],[  3.40098220e-04   2.16272811e-03   5.41539147e-05  -1.06117942e-03]
-57.1,[  7.80479693e-03  -6.28999778e-03  -7.92952168e-05  -1.90544904e-04],[  3.44013469e-04   2.18762567e-03   5.47773406e-05  -1.07339584e-03]
-57.0,[  7.78179329e-03  -6.27145882e-03  -7.90615044e-05  -1.89983297e-04],[  3.47887030e-04   2.21225815e-03   5.53941286e-05  -1.08548218e-03]
-56.9,[  7.75894395e-03  -6.25304421e-03  -7.88293595e-05  -1.89425457e-04],[  3.51719444e-04   2.23662895e-03   5.60043647e-05  -1.09744013e-03]
-56.8,[  7.73626698e-03  -6.23476852e-03  -7.85989659e-05  -1.88871826e-04],[  3.55507997e-04   2.26072085e-03   5.66076169e-05  -1.10926123e-03]
-56.7,[  7.71374161e-03  -6.21661500e-03  -7.83701125e-05  -1.88321896e-04],[  3.59256477e-04   2.28455791e-03   5.72044882e-05  -1.12095729e-03]
-56.6,[  7.69136658e-03  -6.19858264e-03  -7.81427866e-05  -1.87775636e-04],[  3.62965385e-04   2.30814333e-03   5.77950583e-05  -1.13252988e-03]
-56.5,[  7.66914068e-03  -6.18067047e-03  -7.79169757e-05  -1.87233016e-04],[  3.66635208e-04   2.33148021e-03   5.83794051e-05  -1.14398052e-03]
-56.4,[  7.64706272e-03  -6.16287752e-03  -7.76926680e-05  -1.86694009e-04],[  3.70266427e-04   2.35457159e-03   5.89576048e-05  -1.15531070e-03]
-56.3,[  7.62513156e-03  -6.14520288e-03  -7.74698516e-05  -1.86158586e-04],[  3.73859507e-04   2.37742045e-03   5.95297319e-05  -1.16652188e-03]
-56.2,[  7.60334608e-03  -6.12764566e-03  -7.72485154e-05  -1.85626719e-04],[  3.77414908e-04   2.40002970e-03   6.00958591e-05  -1.17761549e-03]
-56.1,[  7.58170522e-03  -6.11020497e-03  -7.70286484e-05  -1.85098383e-04],[  3.80933075e-04   2.42240217e-03   6.06560577e-05  -1.18859293e-03]
-56.0,[  7.56020791e-03  -6.09287998e-03  -7.68102400e-05  -1.84573551e-04],[  3.84414448e-04   2.44454067e-03   6.12103974e-05  -1.19945556e-03]
-55.9,[  7.53885315e-03  -6.07566987e-03  -7.65932797e-05  -1.84052200e-04],[  3.87859453e-04   2.46644790e-03   6.17589463e-05  -1.21020472e-03]
-55.8,[  7.51762079e-03  -6.05855841e-03  -7.63775631e-05  -1.83533837e-04],[  3.91271583e-04   2.48814606e-03   6.23022605e-05  -1.22085129e-03]
-55.7,[  7.49652908e-03  -6.04156030e-03  -7.61632755e-05  -1.83018908e-04],[  3.94648144e-04   2.50961805e-03   6.28399112e-05  -1.23138689e-03]
-55.6,[  7.47557708e-03  -6.02467478e-03  -7.59504072e-05  -1.82507390e-04],[  3.97989541e-04   2.53086642e-03   6.33719625e-05  -1.24181276e-03]
-55.5,[  7.45474481e-03  -6.00788576e-03  -7.57387554e-05  -1.81998794e-04],[  4.01299194e-04   2.55191293e-03   6.38989592e-05  -1.25213959e-03]
-55.4,[  7.43405051e-03  -5.99120793e-03  -7.55285054e-05  -1.81493568e-04],[  4.04574433e-04   2.57274059e-03   6.44204763e-05  -1.26235904e-03]
-55.3,[  7.41347430e-03  -5.97462526e-03  -7.53194551e-05  -1.80991224e-04],[  4.07818635e-04   2.59337089e-03   6.49370513e-05  -1.27248165e-03]
-55.2,[  7.39301539e-03  -5.95813714e-03  -7.51115966e-05  -1.80491744e-04],[  4.11032129e-04   2.61380591e-03   6.54487366e-05  -1.28250844e-03]
-55.1,[  7.37269205e-03  -5.94175826e-03  -7.49051154e-05  -1.79995573e-04],[  4.14212268e-04   2.63402882e-03   6.59551109e-05  -1.29243115e-03]
-55.0,[  7.35250349e-03  -5.92548801e-03  -7.47000035e-05  -1.79502693e-04],[  4.17359413e-04   2.65404192e-03   6.64562314e-05  -1.30225092e-03]
-54.9,[  7.33241102e-03  -5.90929520e-03  -7.44958679e-05  -1.79012159e-04],[  4.20479793e-04   2.67388481e-03   6.69530903e-05  -1.31198718e-03]
-54.8,[  7.31245189e-03  -5.89320986e-03  -7.42930871e-05  -1.78524881e-04],[  4.23567821e-04   2.69352198e-03   6.74447976e-05  -1.32162249e-03]
-54.7,[  7.29260647e-03  -5.87721615e-03  -7.40914615e-05  -1.78040378e-04],[  4.26626747e-04   2.71297408e-03   6.79318712e-05  -1.33116699e-03]
-54.6,[  7.27287410e-03  -5.86131354e-03  -7.38909844e-05  -1.77558636e-04],[  4.29656866e-04   2.73224299e-03   6.84143576e-05  -1.34062161e-03]
-54.5,[  7.25327303e-03  -5.84551676e-03  -7.36918414e-05  -1.77080099e-04],[  4.32655580e-04   2.75131220e-03   6.88918435e-05  -1.34997824e-03]
-54.4,[  7.23376486e-03  -5.82979485e-03  -7.34936422e-05  -1.76603830e-04],[  4.35628955e-04   2.77022027e-03   6.93652946e-05  -1.35925581e-03]
-54.3,[  7.21436790e-03  -5.81416256e-03  -7.32965728e-05  -1.76130276e-04],[  4.38574370e-04   2.78895054e-03   6.98342938e-05  -1.36844614e-03]
-54.2,[  7.19510040e-03  -5.79863461e-03  -7.31008188e-05  -1.75659883e-04],[  4.41489254e-04   2.80748666e-03   7.02984314e-05  -1.37754120e-03]
