angle,pesos_first,pesos_second
-54.9,[ 0.01047487 -0.00844185 -0.00010642 -0.00025573],[  6.00685419e-04   3.81983545e-03   9.56472719e-05  -1.87426740e-03]
-54.8,[ 0.01044636 -0.00841887 -0.00010613 -0.00025504],[  6.05096887e-04   3.84788854e-03   9.63497109e-05  -1.88803212e-03]
-54.7,[ 0.01041801 -0.00839602 -0.00010584 -0.00025434],[  6.09466782e-04   3.87567726e-03   9.70455303e-05  -1.90166713e-03]
-54.6,[ 0.01038982 -0.00837331 -0.00010556 -0.00025366],[  6.13795523e-04   3.90320428e-03   9.77347966e-05  -1.91517373e-03]
-54.5,[ 0.01036182 -0.00835074 -0.00010527 -0.00025297],[  6.18079400e-04   3.93044600e-03   9.84169193e-05  -1.92854035e-03]
-54.4,[ 0.01033395 -0.00832828 -0.00010499 -0.00025229],[  6.22327078e-04   3.95745753e-03   9.90932780e-05  -1.94179401e-03]
-54.3,[ 0.01030624 -0.00830595 -0.00010471 -0.00025161],[  6.26534814e-04   3.98421506e-03   9.97632768e-05  -1.95492306e-03]
-54.2,[ 0.01027871 -0.00828376 -0.00010443 -0.00025094],[ 0.0006307   0.0040107   0.00010043 -0.00196792]
-54.1,[ 0.01025132 -0.00826169 -0.00010415 -0.00025027],[ 0.00063483  0.00403695  0.00010108 -0.0019808 ]
-54.0,[ 0.01022408 -0.00823973 -0.00010387 -0.00024961],[ 0.00063892  0.00406296  0.00010174 -0.00199356]
-53.9,[ 0.010197   -0.00821791 -0.0001036  -0.00024895],[ 0.00064297  0.00408873  0.00010238 -0.0020062 ]
-53.8,[ 0.01017007 -0.00819621 -0.00010333 -0.00024829],[ 0.00064698  0.00411425  0.00010302 -0.00201873]
-53.7,[ 0.0101433  -0.00817463 -0.00010305 -0.00024764],[ 0.00065096  0.00413954  0.00010365 -0.00203113]
-53.6,[ 0.01011665 -0.00815315 -0.00010278 -0.00024699],[ 0.0006549   0.00416461  0.00010428 -0.00204344]
